postid,postdate,tag,TFMvalue,comparitive_count,Normalized_count
1616,1291770720,0,0.733333333,4,0.066666667
1617,1291770300,0,0.714285714,5,0.083333333
1618,1291770180,0,0.888888889,3,0.05
1619,1291770360,0,0.8,6,0.1
1620,1291770720,0,0.666666667,2,0.033333333
1621,1291781220,0,0.5,1,0.016666667
1622,1291780680,0,0.571428571,5,0.083333333
1623,1291794780,0,0.888888889,1,0.016666667
1624,1291772700,0,0.666666667,3,0.05
1625,1295512020,0,0.75,0,0
1626,1291777920,0,0.666666667,1,0.016666667
1627,1291803000,0,0.666666667,7,0.116666667
1628,1220639520,0,0.666666667,1,0.016666667
1629,1220641380,0,0.8,6,0.1
1630,1220641380,0,0.666666667,5,0.083333333
1631,1233006420,0,0.75,0,0
1632,1220639880,0,0.75,6,0.1
1633,1220649420,0,0.666666667,4,0.066666667
1634,1222296240,0,0.75,3,0.05
1635,1271778060,0,0.666666667,2,0.033333333
1636,1220640180,0,0.666666667,2,0.033333333
1637,1232972760,0,0.8,0,0
1638,1289802420,0,0.9375,1,0.016666667
1639,1289804820,0,0.75,15,0.25
1640,1289804040,0,0.75,3,0.05
1641,1289804760,0,0.571428571,6,0.1
1642,1342978920,0,0.75,2,0.033333333
1643,1342979040,0,0.5,3,0.05
1644,1342979760,0,0.666666667,1,0.016666667
1645,1343070300,0,0.8,1,0.016666667
1646,1317990720,0,0.75,4,0.066666667
1647,1317990900,0,0.666666667,0,0
1648,1317990900,0,0.8,1,0.016666667
1649,1317990900,0,0.8,0,0
1650,1317991020,0,0.8,0,0
1651,1317990900,0,0.785714286,0,0
1652,1317991020,0,0.666666667,0,0
1653,1345906680,0,0.666666667,1,0.016666667
1654,1317993780,0,0.928571429,0,0
1655,1309823100,0,0.666666667,3,0.05
1656,1309883340,0,0.75,2,0.033333333
1657,1297975560,0,0.666666667,2,0.033333333
1658,1297976400,0,0.625,0,0
1659,1297975680,0,0.75,0,0
1660,1297975620,0,0.8,1,0.016666667
1661,1297975860,0,0.666666667,0,0
1662,1314884340,0,0.5,4,0.066666667
1663,1314884460,0,0.666666667,16,0.266666667
1664,1314884460,0,0.8,1,0.016666667
1665,1296239340,0,0.6,1,0.016666667
1666,1296239460,0,0.833333333,3,0.05
1667,1296239460,0,0.666666667,1,0.016666667
1668,1380564480,0,0.75,1,0.016666667
1669,1296239460,0,0.666666667,1,0.016666667
1670,1296239520,0,0.5,2,0.033333333
1671,1296244680,0,0.818181818,4,0.066666667
1672,1296480120,0,0.666666667,5,0.083333333
1673,1365173220,0,0.714285714,0,0
1674,1296239580,0,0.666666667,2,0.033333333
1675,1341909780,0,0.666666667,1,0.016666667
1676,1341910320,0,0.8,8,0.133333333
1677,1341912000,0,0.857142857,0,0
1678,1341910260,0,0.75,1,0.016666667
1679,1345552980,0,0.666666667,9,0.15
1680,1373537940,0,0.5,0,0
1681,1384683240,0,0.875,1,0.016666667
