postid,postdate,tag,TFMvalue
128,1300723380,2,0.636363636
129,1300723500,2,0.666666667
130,1372749180,2,0.6
131,1278842820,2,0.75
132,1278850920,2,0.571428571
133,1278851820,2,0.666666667
134,1382573940,2,0.571428571
135,1374707400,2,0.916666667
136,1365948300,2,0.666666667
137,1365948420,2,0.75
138,1365948360,2,0.777777778
139,1365948540,2,0.666666667
140,1365948720,2,0.6
141,1310156100,2,0.8
142,1310156760,2,0.8
143,1310156340,2,0.666666667
144,1259890800,2,0.777777778
145,1259890980,2,0.6
146,1259891220,2,0.8
147,1259909400,2,0.75
148,1259891580,2,0.571428571
149,1259896560,2,0.75
150,1259894520,2,0.75
151,1259891040,2,0.7
152,1221595260,2,0.666666667
153,1221595860,2,0.833333333
154,1221480660,2,0.666666667
155,1221481620,2,0.75
156,1221567120,2,0.5
157,1221481560,2,0.833333333
158,1376420280,2,0.666666667
159,1221481620,2,0.666666667
160,1221507480,2,0.666666667
161,1281017580,2,0.8
162,1221481560,2,0.714285714
163,1221481740,2,0.5
164,1284756420,2,0.5
165,1284756720,2,0.714285714
166,1284756720,2,0.666666667
167,1284800520,2,0.666666667
168,1352928900,2,0.666666667
169,1352929080,2,0.714285714
170,1352929080,2,0.666666667
171,1352929080,2,0.75
172,1400080620,2,0.8
173,1232941560,2,0.666666667
174,1232942280,2,0.666666667
175,1232948700,2,0.666666667
176,1232979720,2,0.75
177,1269248040,2,0.666666667
178,1269248340,2,0.666666667
179,1269248760,2,0.5
180,1269248820,2,0.8
181,1269248820,2,0.571428571
182,1269249600,2,0.666666667
183,1374352560,2,0.818181818
184,1232473080,2,0.818181818
185,1232473500,2,0.666666667
186,1232473260,2,0.666666667
187,1382539860,2,0.6
188,1241032320,2,0.666666667
189,1232473980,2,0.75
190,1232488320,2,0.666666667
191,1232473620,2,0.666666667
192,1265113500,2,0.666666667
193,1352305740,2,0.909090909
194,1375123800,2,0.956521739
195,1292436600,2,0.8
196,1292436780,2,0.833333333
197,1292437500,2,0.666666667
198,1292436960,2,0.75
199,1292439660,2,0.818181818
200,1325102700,2,0.8
201,1325102820,2,0.8
202,1325103480,2,0.833333333
203,1325102760,2,0.6
204,1346456580,2,0.5
205,1325103000,2,0.555555556
206,1325103060,2,0.5
207,1325103360,2,0.5
208,1325102940,2,0.5
209,1364661000,2,0.666666667
210,1364661960,2,0.666666667
211,1364661540,2,0.529411765
212,1364661420,2,0.75
213,1351355460,2,0.5
214,1352248860,2,0.642857143
215,1351355700,2,0.9
216,1372431840,2,0.857142857
217,1237438680,2,0.625
218,1237440480,2,0.666666667
219,1237444680,2,0.75
220,1237456860,2,0.666666667
221,1237457640,2,0.5
222,1237438860,2,0.6
223,1268403300,2,0.75
224,1268403600,2,0.818181818
225,1276002300,2,0.75
226,1276015980,2,0.8
227,1276003920,2,0.5
228,1276016700,2,0.8
229,1276020960,2,0.5
230,1351896960,2,0.75
231,1276002660,2,0.75
232,1221503700,2,0.833333333
233,1221503820,2,0.8
234,1221504060,2,0.769230769
235,1221508140,2,0.75
236,1221506820,2,0.6
237,1340720400,2,0.916666667
238,1372694280,2,0.75
239,1372694520,2,0.5
240,1372695600,2,0.833333333
241,1372694640,2,0.75
242,1372694400,2,0.666666667
243,1372694700,2,0.875
244,1389627300,2,0.5
245,1392069900,2,0.666666667
246,1387608660,2,0.714285714
